,state,county,area_sqmi,epl_pov,epl_unemp,epl_pci,epl_nohsdp,spl_theme1,rpl_theme1,epl_age65,epl_age17,epl_disabl,epl_sngpnt,spl_theme2,rpl_theme2,epl_minrty,epl_limeng,spl_theme3,rpl_theme3,epl_munit,epl_mobile,epl_crowd,epl_noveh,epl_groupq,spl_theme4,rpl_theme4,spl_themes,rpl_themes,f_pov,f_unemp,f_pci,f_nohsdp,f_theme1,f_age65,f_age17,f_disabl,f_sngpnt,f_theme2,f_minrty,f_limeng,f_theme3,f_munit,f_mobile,f_crowd,f_noveh,f_groupq,f_theme4,f_total
168,ARKANSAS,Pope,812.5197955,0.7271,0.6207,0.7927,0.666,2.8065,0.7522,0.2209,0.5715,0.6074,0.7198,2.1196,0.5928,0.4877,0.7848,1.2725,0.6711,0.6017,0.5145,0.5498,0.4677,0.8262,2.9599,0.7437,9.1585,0.7936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,ARKANSAS,Prairie,647.8867151,0.5602,0.6545,0.6541,0.7692,2.638,0.708,0.8583,0.255,0.872,0.3613,2.3466,0.7622,0.4718,0.0,0.4718,0.2174,0.1512,0.88,0.7803,0.6425,0.4126,2.8666,0.695,8.323,0.6548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,ARKANSAS,Pulaski,758.9141761,0.6494,0.449,0.1994,0.3114,1.6092,0.3889,0.1786,0.6581,0.5005,0.9019,2.2391,0.688,0.865,0.717,1.582,0.8481,0.9363,0.2194,0.4817,0.7224,0.3792,2.739,0.631,8.1693,0.6287,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2
171,ARKANSAS,Randolph,652.2233313,0.7178,0.2745,0.8401,0.7529,2.5853,0.6898,0.6679,0.5715,0.8886,0.8752,3.0032,0.9828,0.1544,0.4187,0.5731,0.2706,0.1188,0.6227,0.7249,0.5294,0.4995,2.4953,0.4858,8.6569,0.7166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,ARKANSAS,Saline,723.5463375,0.1048,0.2334,0.2879,0.3114,0.9375,0.1844,0.4091,0.6711,0.6256,0.6065,2.3123,0.737,0.4664,0.6087,1.0751,0.5524,0.6332,0.6632,0.4817,0.2114,0.185,2.1745,0.3257,6.4994,0.3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,ARKANSAS,Scott,892.3062476,0.8541,0.9436,0.9717,0.88,3.6494,0.9608,0.6788,0.8819,0.9035,0.2537,2.7179,0.9303,0.4903,0.4642,0.9545,0.4877,0.1958,0.7644,0.7953,0.8348,0.0541,2.6444,0.5731,9.9662,0.8873,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
174,ARKANSAS,Searcy,666.0942769,0.8252,0.1245,0.8748,0.6804,2.5049,0.6666,0.9147,0.2254,0.923,0.0544,2.1175,0.5903,0.2235,0.227,0.4505,0.2057,0.2216,0.744,0.155,0.7112,0.185,2.0168,0.2623,7.0897,0.4376,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2
175,ARKANSAS,Sebastian,531.8947596,0.8016,0.3981,0.5834,0.7351,2.5182,0.672,0.2273,0.7529,0.7638,0.7679,2.5119,0.852,0.6921,0.8647,1.5568,0.8351,0.8653,0.1866,0.8348,0.6425,0.3457,2.8749,0.6998,9.4618,0.8328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,ARKANSAS,Sevier,565.1300943,0.8217,0.449,0.8793,0.958,3.108,0.8341,0.1541,0.958,0.3314,0.4126,1.8561,0.3747,0.8214,0.9698,1.7912,0.936,0.0551,0.8606,0.9733,0.2563,0.0729,2.2182,0.3432,8.9735,0.7675,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,4
177,ARKANSAS,Sharp,604.4275361,0.8395,0.4166,0.8742,0.7186,2.8489,0.764,0.9351,0.3505,0.9854,0.5234,2.7944,0.9475,0.2015,0.0707,0.2722,0.1057,0.2798,0.6256,0.7953,0.242,0.2582,2.2009,0.3365,8.1164,0.6191,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2
178,ARKANSAS,St. Francis,634.802872,0.9414,0.8341,0.9704,0.8294,3.5753,0.9462,0.2273,0.4502,0.7714,0.9277,2.3766,0.7838,0.9296,0.297,1.2266,0.6428,0.4677,0.7186,0.7249,0.9691,0.9608,3.8411,0.9908,11.0196,0.9691,1,0,1,0,2,0,0,0,1,1,1,0,1,0,0,0,1,1,2,6
179,ARKANSAS,Stone,606.4038541,0.8643,0.6545,0.8844,0.8612,3.2644,0.8752,0.9459,0.2089,0.9089,0.1391,2.2028,0.659,0.1366,0.0707,0.2073,0.0751,0.2216,0.9647,0.1888,0.2563,0.185,1.8164,0.192,7.4909,0.5102,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,3
180,ARKANSAS,Union,1039.2151111,0.792,0.7726,0.621,0.666,2.8516,0.7646,0.3763,0.7405,0.6256,0.83,2.5724,0.8768,0.794,0.5113,1.3053,0.6934,0.2216,0.8208,0.9236,0.3381,0.2184,2.5225,0.503,9.2518,0.8054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
181,ARKANSAS,Van Buren,709.7328624,0.7395,0.7583,0.8242,0.6129,2.9349,0.7892,0.928,0.2254,0.9491,0.433,2.5355,0.8615,0.2085,0.0707,0.2792,0.1086,0.7138,0.865,0.6313,0.5142,0.2184,2.9427,0.7342,8.6923,0.7226,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2
182,ARKANSAS,Washington,942.013126,0.6395,0.3121,0.3876,0.6574,1.9966,0.5108,0.0379,0.8106,0.0796,0.653,1.5811,0.2047,0.6788,0.8774,1.5562,0.8348,0.9538,0.2455,0.8198,0.5441,0.7195,3.2827,0.8825,8.4166,0.6745,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
